"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","<0.1%","<0.1%","","","","","__aarch64_cas4_acq"
"0","<0.1%","2.5%","2.4%","0.2%","","","Mesh::Mesh(Input const&, MPI_Types const&, Info const&, IMC_Parameters const&)"
"0","<0.1%","<0.1%","","","","","r123array2x64::incr(unsigned long long) [inlined]"
"0","<0.1%","1.0%","0.9%","","","","std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool"
"0","<0.1%","<0.1%","","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","<0.1%","<0.1%","","","","","transport_photon_particle_pass(Photon&, Mesh const&, RNG*, double&, double&, double&, std::vector<double, std::allocator<double"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false> const*, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Isend"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<Work_Packet>::construct<Work_Packet, Work_Packet const&>(Work_Packet*, Work_Packet const&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__relocate_a_1<Work_Packet*, Work_Packet*, std::allocator<Work_Packet> >(Work_Packet*, Work_Packet*, Work_Packet*, std::allocator<Work_Packet>&) [inlined]"
"0","<0.1%","0.2%","0.1%","","","","libmetis__Match_SHEM"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Finalize"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__Match_RM"
"0","<0.1%","<0.1%","","","","","Work_Local_Map::operator()(Work_Packet const&, Work_Packet const&) [inlined]"
"0","<0.1%","<0.1%","","","","","memset"
"0","<0.1%","<0.1%","","","","","free"
"0","<0.1%","1.6%","1.6%","","","","std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","<0.1%","1.0%","1.0%","","","","std::unordered_map<unsigned int, bool, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, bool> > >::operator[](unsigned int&&) [inlined]"
"0","<0.1%","<0.1%","","","","","sgn<double>(double) [inlined]"
"0","<0.1%","1.7%","1.6%","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","<0.1%","<0.1%","","","","","std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const [inlined]"
"0","<0.1%","0.6%","0.5%","","","","pow"
"0","<0.1%","<0.1%","","","","","Work_Local_Map::operator()(Work_Packet const&, Work_Packet const&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<Photon>::construct<Photon, Photon>(Photon*, Photon&&) [inlined]"
"0","<0.1%","<0.1%","","","","","Mesh::calculate_photon_energy(IMC_State&)"
"0","<0.1%","5.9%","5.9%","","","","Source::post_lb_prepare_source()"
"0","<0.1%","<0.1%","","","","","Cell::get_distance_to_boundary(double const*, double const*, unsigned int&) const [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false> >::construct<std::pair<unsigned int const, unsigned int>, std::pair<unsigned int const, unsigned int> const&>(std::pair<unsigned int const, unsigned int>*, std::pair<unsigned int const, unsigned int> const&) [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__ProjectKWayPartition"
"0","<0.1%","0.4%","0.4%","","","","std::vector<Work_Packet, std::allocator<Work_Packet> >::push_back(Work_Packet const&) [inlined]"
"0","<0.1%","0.5%","0.5%","","","","Mesh::calculate_photon_energy(IMC_State&)"
"0","<0.1%","<0.1%","","","","","std::swap<Photon>(Photon&, Photon&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned int const&, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>*) const [inlined]"
"0","<0.1%","<0.1%","","","","","Source::get_initial_census_photon(Photon&, Work_Packet&, double const&, double const&, RNG*) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_grip_ID() const [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","std::__fill_a1<double*, double>(double*, double*, double const&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map> >(__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map>) [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon> > >::operator--() [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__CreateCoarseGraphNoMask"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::get_next_cell(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","sincos@plt"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Irecv"
"0","<0.1%","<0.1%","<0.1%","","","","std::__adjust_heap<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__FM_2WayCutRefine"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>*) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>*) [inlined]"
"0","<0.1%","<0.1%","","","","","std::hash<unsigned int>::operator()(unsigned int) const [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::get_bc(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__rpqInsert"
"0","<0.1%","1.3%","1.3%","","","","std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::operator[](unsigned int const&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::get_T_e() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@plt"
"0","<0.1%","<0.1%","","","","","std::vector<Work_Packet, std::allocator<Work_Packet> >::size() const [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__rpqUpdate"
"0","<0.1%","<0.1%","","","","","Proto_Mesh::get_pre_window_allocation_cell(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","operator delete(void*)@plt"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_next_cell(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>::_M_next() const [inlined]"
"0","<0.1%","<0.1%","","","","","__dubsin"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__irandArrayPermute"
"0","<0.1%","<0.1%","","","","","libmetis__rpqGetTop"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<Work_Packet>::construct<Work_Packet, Work_Packet>(Work_Packet*, Work_Packet&&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>) [inlined]"
"0","<0.1%","<0.1%","","","","","Photon::set_group(unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","Photon::set_angle(double const*) [inlined]"
"0","<0.1%","<0.1%","","","","","Source::get_emission_photon(Photon&, Work_Packet&, double const&, double const&, RNG*) [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis.iset"
"0","<0.1%","<0.1%","","","","","libmetis__BucketSortKeysInc"
"0","<0.1%","<0.1%","","","","","libmetis__rpqDelete"
"0","<0.1%","<0.1%","","","","","Proto_Cell::set_grip_ID(unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","std::vector<double, std::allocator<double> >::operator[](unsigned long) [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::get_cV() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","Source::get_photon(RNG*, double const&)"
"0","<0.1%","<0.1%","","","","","Cell::get_region_ID() const [inlined]"
"0","<0.1%","0.2%","0.2%","","","","sbrk"
"0","<0.1%","0.8%","0.8%","","","","overdecompose_mesh(Proto_Mesh&, unsigned int)"
"0","<0.1%","<0.1%","<0.1%","","","","random"
"0","<0.1%","<0.1%","<0.1%","","","","std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Mesh::get_new_global_index_map() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>) [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","Mesh::Mesh(Input const&, MPI_Types const&, Info const&, IMC_Parameters const&)"
"0","<0.1%","<0.1%","","","","","Cell::Cell(Proto_Cell const&) [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::attach_creation_work(double, unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","malloc@plt"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","Photon::reflect(unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","std::vector<Photon, std::allocator<Photon> >::operator[](unsigned long) [inlined]"
"0","<0.1%","5.0%","5.0%","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","<0.1%","<0.1%","<0.1%","","","","sysmalloc"
"0","<0.1%","<0.1%","<0.1%","","","","std::swap<Proto_Cell>(Proto_Cell&, Proto_Cell&) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_ID() const [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__SplitGraphPart"
"0","<0.1%","<0.1%","","","","","libmetis__Project2WayPartition"
"0","<0.1%","<0.1%","","","","","libmetis__Compute2WayPartitionParams"
"0","<0.1%","0.2%","0.2%","","","","std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::find(unsigned int const&) [inlined]"
"0","<0.1%","0.3%","0.3%","","","","std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> > >::operator[](unsigned int&&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)> >(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)>) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Mesh::get_grip_map() const [inlined]"
"0","<0.1%","0.2%","0.2%","","","","Proto_Mesh::renumber_local_cell_indices(std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","<0.1%","<0.1%","","","","","Cell::Cell() [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::Work_Packet() [inlined]"
"0","<0.1%","<0.1%","","","","","pow@plt"
"0","<0.1%","<0.1%","","","","","std::vector<Region, std::allocator<Region> >::operator[](unsigned long) [inlined]"
"0","<0.1%","2.2%","2.2%","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet"
"0","<0.1%","<0.1%","","","","","Photon::set_distance_to_census(double) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","<0.1%","0.3%","0.3%","","","","std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","0.5%","0.5%","","","","operator new(unsigned long)"
"0","<0.1%","<0.1%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_less_iter) [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >::operator+(long) const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__adjust_heap<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","<0.1%","<0.1%","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","<0.1%","","","","","libmetis.isum"
"0","<0.1%","0.2%","0.2%","","","","libmetis__CoarsenGraph"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__MlevelRecursiveBisection"
