"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","0.4%","0.4%","","","","","std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Photon*>, Photon*>(std::move_iterator<Photon*>, std::move_iterator<Photon*>, Photon*) [inlined]"
"0","0.3%","0.3%","","","","","Photon::move(double) [inlined]"
"0","0.3%","0.3%","","","","","std::_Construct<Photon, Photon>(Photon*, Photon&&) [inlined]"
"0","0.3%","0.3%","","0.3%","","","MPI_Allreduce"
"0","0.3%","0.3%","","","","","std::_Construct<Work_Packet, Work_Packet>(Work_Packet*, Work_Packet&&) [inlined]"
"0","0.3%","0.3%","","","","","sgn<double>(double) [inlined]"
"0","0.3%","0.3%","<0.1%","","","","libmetis__Greedy_KWayCutOptimize"
"0","0.3%","0.3%","","","","","__gnu_cxx::new_allocator<Photon>::construct<Photon, Photon const&>(Photon*, Photon const&) [inlined]"
"0","0.2%","0.2%","","","","","Photon::get_E() const [inlined]"
"0","0.2%","0.2%","","","","","Work_Packet::attach_census_work(unsigned int, unsigned int) [inlined]"
"0","0.2%","0.2%","","","","","__gnu_cxx::new_allocator<Work_Packet>::construct<Work_Packet, Work_Packet const&>(Work_Packet*, Work_Packet const&) [inlined]"
"0","0.2%","0.2%","","","","","std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Work_Packet*>, Work_Packet*>(std::move_iterator<Work_Packet*>, std::move_iterator<Work_Packet*>, Work_Packet*) [inlined]"
"0","0.2%","1.2%","0.9%","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","0.2%","85.1%","84.9%","1.2%","","","replicated_transport(Source&, Mesh const&, IMC_State&, std::vector<double, std::allocator<double"
"0","0.2%","0.2%","","","","","exp@plt"
"0","0.2%","0.4%","0.2%","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","0.2%","1.3%","1.1%","","","","_int_free"
"0","0.2%","0.2%","","","","","Mesh::get_on_rank_cell(unsigned int) const [inlined]"
"0","0.2%","0.2%","","","","","__aarch64_swp4_rel"
"0","0.2%","0.2%","","","","","Work_Packet::set_coor(double const*) [inlined]"
"0","0.2%","0.2%","<0.1%","","","","std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","0.2%","0.2%","","","","","Mesh::on_processor(unsigned int const&) const [inlined]"
"0","0.2%","0.2%","","","","","Photon::get_distance_remaining() const [inlined]"
"0","0.2%","0.2%","","","","","pow_finite_optr_gcc"
"0","0.2%","0.2%","","","","","r123array2x64::incr(unsigned long long) [inlined]"
"0","0.2%","0.2%","","","","","Cell::get_volume() const [inlined]"
"0","0.2%","0.2%","","","","","Photon::get_cell() const [inlined]"
"0","0.2%","0.2%","","","","","Cell::get_ID() const [inlined]"
"0","0.2%","1.8%","1.6%","","","","Work_Local_Map::operator()(Work_Packet const&, Work_Packet const&)"
"0","0.1%","0.1%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Val_comp_iter<Work_Local_Map> >(__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Val_comp_iter<Work_Local_Map>) [inlined]"
"0","0.1%","0.2%","<0.1%","","","","_int_malloc"
"0","0.1%","0.1%","","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","0.1%","0.1%","","","","","__aarch64_cas8_rel"
"0","0.1%","0.1%","","","","","std::vector<double, std::allocator<double> >::operator[](unsigned long) [inlined]"
"0","0.1%","0.2%","<0.1%","","","","libmetis__Match_SHEM"
"0","0.1%","0.1%","","","","","Photon::below_cutoff(double) const [inlined]"
"0","0.1%","0.1%","","","","","__aarch64_cas4_acq"
"0","0.1%","3.3%","3.2%","","","","get_uniform_angle(double*, RNG*) [inlined]"
"0","<0.1%","2.2%","2.1%","","","","Source::get_emission_photon(Photon&, Work_Packet&, double const&, double const&, RNG*)"
"0","<0.1%","0.5%","0.4%","","","","malloc"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, bool>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false> const*, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","_ZSt4swapI10Proto_CellENSt9enable_ifIXsr6__and_ISt6__not_ISt15__is_tuple_likeIT_EESt21is_move_constructibleIS4_ESt18is_move_assignableIS4_EEE5valueEvE4typeERS4_SD_ [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_grip_ID() const [inlined]"
"0","<0.1%","2.6%","2.6%","0.1%","","","Mesh::Mesh(Input const&, MPI_Types const&, Info const&, IMC_Parameters const&)"
"0","<0.1%","<0.1%","","","","","libmetis__CreateCoarseGraph"
"0","<0.1%","<0.1%","","","","","Cell::get_cV() const [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::get_photon_E() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Construct<Proto_Cell, Proto_Cell>(Proto_Cell*, Proto_Cell&&) [inlined]"
"0","<0.1%","<0.1%","","","","","memset"
"0","<0.1%","<0.1%","","","","","free"
"0","<0.1%","<0.1%","","","","","Cell::get_T_r() const [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::get_T_e() const [inlined]"
"0","<0.1%","<0.1%","","","","","Cell::Cell() [inlined]"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Isend"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Waitall"
"0","<0.1%","<0.1%","","","","","memcpy"
"0","<0.1%","<0.1%","","","","","std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<Proto_Cell>::construct<Proto_Cell, Proto_Cell const&>(Proto_Cell*, Proto_Cell const&) [inlined]"
"0","<0.1%","0.4%","0.3%","","","","Mesh::calculate_photon_energy(IMC_State&)"
"0","<0.1%","<0.1%","","","","","Photon::reflect(unsigned int) [inlined]"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Irecv"
"0","<0.1%","<0.1%","","","","","std::_Construct<Proto_Cell, Proto_Cell const&>(Proto_Cell*, Proto_Cell const&) [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__Match_RM"
"0","<0.1%","<0.1%","","","","","Cell::get_region_ID() const [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::get_n_create() const [inlined]"
"0","<0.1%","7.2%","7.2%","","","","Source::post_lb_prepare_source()"
"0","<0.1%","<0.1%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map> >(__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map>) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Mesh::get_pre_window_allocation_cell(unsigned int const&) const [inlined]"
"0","<0.1%","1.2%","1.2%","","","","Source::Source(Mesh&, IMC_State&, unsigned long, double, std::vector<Photon, std::allocator<Photon"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>::_M_next() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)> >(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)>) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","0.3%","0.3%","","","","Mesh::update_temperature(std::vector<double, std::allocator<double"
"0","<0.1%","0.6%","0.5%","","","","operator new(unsigned long)"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__ProjectKWayPartition"
"0","<0.1%","<0.1%","","","","","Proto_Cell::set_grip_ID(unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<std::pair<unsigned int const, unsigned int> >::construct<std::pair<unsigned int const, unsigned int>, std::pair<unsigned int const, unsigned int> const&>(std::pair<unsigned int const, unsigned int>*, std::pair<unsigned int const, unsigned int> const&) [inlined]"
"0","<0.1%","0.1%","0.1%","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool"
"0","<0.1%","<0.1%","","","","","std::vector<Photon, std::allocator<Photon> >::operator[](unsigned long) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Proto_Cell*>, Proto_Cell*>(std::move_iterator<Proto_Cell*>, std::move_iterator<Proto_Cell*>, Proto_Cell*) [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__CreateCoarseGraphNoMask"
"0","<0.1%","<0.1%","","","","","Cell::get_T_s() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","__gnu_cxx::new_allocator<Proto_Cell>::construct<Proto_Cell, Proto_Cell>(Proto_Cell*, Proto_Cell&&) [inlined]"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>*) [inlined]"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_ID() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Hash_code_base<unsigned int, unsigned int, std::__detail::_Identity, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<unsigned int, false> const*, unsigned long) const [inlined]"
"0","<0.1%","0.8%","0.8%","","","","std::vector<Work_Packet, std::allocator<Work_Packet"
"0","<0.1%","<0.1%","","","","","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Val_less_iter) [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__FM_2WayCutRefine"
"0","<0.1%","<0.1%","","","","","libmetis__rpqGetTop"
"0","<0.1%","<0.1%","","","","","libmetis__rpqUpdate"
"0","<0.1%","<0.1%","","","","","std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const"
"0","<0.1%","<0.1%","","","","","Photon::set_group(unsigned int) [inlined]"
"0","<0.1%","1.3%","1.3%","","","","std::vector<Photon, std::allocator<Photon"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, bool>, std::allocator<std::pair<unsigned int const, bool> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>*) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__make_heap<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","<0.1%","<0.1%","","","","libmetis__irandArrayPermute"
"0","<0.1%","<0.1%","<0.1%","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true"
"0","<0.1%","<0.1%","","","","","operator delete(void*)@plt"
"0","<0.1%","1.5%","1.5%","","","","__gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map>::operator()<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > > >(__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >) [inlined]"
"0","<0.1%","<0.1%","","","","","std::vector<Work_Packet, std::allocator<Work_Packet> >::size() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::min<double>(double const&, double const&) [inlined]"
"0","<0.1%","0.1%","0.1%","","","","std::vector<Proto_Cell, std::allocator<Proto_Cell"
"0","<0.1%","<0.1%","<0.1%","","","","sysmalloc"
"0","<0.1%","0.4%","0.4%","","","","__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false> >::allocate(unsigned long, void const*) [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__rpqInsert"
"0","<0.1%","<0.1%","","","","","Proto_Cell::get_next_cell(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","","","","","pow@plt"
"0","<0.1%","<0.1%","","","","","sin@plt"
"0","<0.1%","<0.1%","","","","","Photon::get_group() const [inlined]"
"0","<0.1%","<0.1%","","","","","__dubcos"
"0","<0.1%","<0.1%","","","","","std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [inlined]"
"0","<0.1%","<0.1%","","","","","libmetis__Project2WayPartition"
"0","<0.1%","<0.1%","","","","","std::__unguarded_partition<__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)> >(__gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__normal_iterator<Proto_Cell*, std::vector<Proto_Cell, std::allocator<Proto_Cell> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(Proto_Cell const&, Proto_Cell const&)>) [inlined]"
"0","<0.1%","0.9%","0.9%","","","","std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned int const&) [inlined]"
"0","<0.1%","<0.1%","","","","","malloc@plt"
"0","<0.1%","<0.1%","<0.1%","","","","Region::get_absorption_opacity(double) const [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::Work_Packet() [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","_ZSt10__fill_n_aIPdmdEN9__gnu_cxx11__enable_ifIXsr11__is_scalarIT1_EE7__valueET_E6__typeES4_T0_RKS3_ [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::get_n_particles() const [inlined]"
"0","<0.1%","2.5%","2.5%","0.1%","","","replicate_mesh(Proto_Mesh&, MPI_Types const&, Info const&, unsigned int const&)"
"0","<0.1%","<0.1%","","","","","random_r"
"0","<0.1%","<0.1%","","","","","libmetis.iset"
"0","<0.1%","<0.1%","","","","","libmetis__rpqDelete"
"0","<0.1%","<0.1%","<0.1%","","","","Proto_Cell::sort_grip_ID(Proto_Cell const&, Proto_Cell const&)"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::attach_creation_work(double, unsigned int) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@plt"
"0","<0.1%","2.5%","2.5%","","","","std::__introsort_loop<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet"
"0","<0.1%","<0.1%","<0.1%","","","","std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map> >(__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet> > >, __gnu_cxx::__ops::_Iter_comp_iter<Work_Local_Map>) [inlined]"
"0","<0.1%","<0.1%","","","","","operator new(unsigned long)@plt"
"0","<0.1%","<0.1%","","","","","__dubsin"
"0","<0.1%","<0.1%","","","","","cos@plt"
"0","<0.1%","<0.1%","","","","","replicate_mesh(Proto_Mesh&, MPI_Types const&, Info const&, unsigned int const&)"
"0","<0.1%","<0.1%","","","","","std::pair<unsigned int const, unsigned int>::pair<unsigned int&&, 0ul>(std::tuple<unsigned int&&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>) [inlined]"
"0","<0.1%","<0.1%","","","","","overdecompose_mesh(Proto_Mesh&, unsigned int)"
"0","<0.1%","<0.1%","","","","","libmetis.isum"
"0","<0.1%","0.3%","0.3%","","","","libmetis__CoarsenGraph"
"0","<0.1%","<0.1%","","","","","libmetis__Compute2WayPartitionParams"
"0","<0.1%","<0.1%","","","","","libmetis__cnbrpoolGetNext"
"0","<0.1%","0.3%","0.3%","","","","__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false> >::deallocate(std::__detail::_Hash_node<std::pair<unsigned int const, unsigned int>, false>*, unsigned long) [inlined]"
"0","<0.1%","0.2%","0.2%","","","","Proto_Mesh::renumber_local_cell_indices(std::unordered_map<unsigned int, unsigned int, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, unsigned int, std::allocator<unsigned int>, std::__detail::_Identity, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<unsigned int, false>*) [inlined]"
"0","<0.1%","0.1%","0.1%","","","","__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false> >::allocate(unsigned long, void const*) [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","std::__move_median_to_first<__gnu_cxx::__normal_iterator<Work_Packet*, std::vector<Work_Packet, std::allocator<Work_Packet"
"0","<0.1%","<0.1%","<0.1%","","","","__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false> >::deallocate(std::__detail::_Hash_node<std::pair<unsigned int const, bool>, false>*, unsigned long) [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Prime_rehash_policy::_M_state() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__detail::_Map_base<unsigned int, std::pair<unsigned int const, Cell>, std::allocator<std::pair<unsigned int const, Cell> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::at(unsigned int const&) const [inlined]"
"0","<0.1%","<0.1%","<0.1%","","","","__docos"
"0","<0.1%","<0.1%","","","","","std::vector<Photon, std::allocator<Photon"
"0","<0.1%","<0.1%","","","","","Photon::set_E0(double) [inlined]"
"0","<0.1%","0.1%","0.1%","","","","Source::get_initial_census_photon(Photon&, Work_Packet&, double const&, double const&, RNG*)"
"0","<0.1%","<0.1%","","","","","Photon::set_position(double const*) [inlined]"
"0","<0.1%","<0.1%","","","","","Work_Packet::get_census_index() const [inlined]"
"0","<0.1%","<0.1%","","","","","std::__make_heap<__gnu_cxx::__normal_iterator<Photon*, std::vector<Photon, std::allocator<Photon"
"0","<0.1%","<0.1%","","","","","std::_Hashtable<unsigned int, std::pair<unsigned int const, unsigned int>, std::allocator<std::pair<unsigned int const, unsigned int> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned int const&, unsigned long) const [inlined]"
"0","<0.1%","<0.1%","","","","","get_photon_list_E(std::vector<Photon, std::allocator<Photon> > const&) [inlined]"
"0","<0.1%","99.9%","99.9%","1.7%","","","main(int, char**)"
"0","<0.1%","<0.1%","<0.1%","","","","Buffer<Proto_Cell>::fill(std::vector<Proto_Cell, std::allocator<Proto_Cell> >)"
"0","<0.1%","0.1%","0.1%","","","","std::vector<Proto_Cell, std::allocator<Proto_Cell> >::operator=(std::vector<Proto_Cell, std::allocator<Proto_Cell> > const&)"
